source,zh-CN,zh-TW,ja,ko,fr,de,es,pt,pt-BR,ru,it,vi,th,id,ar,nl,pl,sv,tr,en
Unleash Your Computer with Next-Gen DDR5,新一代 DDR5，释放电脑潜能,新一代 DDR5，釋放電腦潛能,次世代DDR5でPCの性能を最大限に引き出す,차세대 DDR5로 PC의 성능을 극대화하세요,Libérez la puissance de votre PC avec la DDR5 de nouvelle génération,Entfesseln Sie die volle Leistung Ihres PCs mit DDR5 der nächsten Generation,Desata el potencial de tu equipo con la DDR5 de nueva generación,Liberte o potencial do seu PC com a DDR5 de nova geração,Libere o potencial do seu PC com a DDR5 de nova geração,Раскройте мощь своего ПК с DDR5 нового поколения,Potenzia il tuo computer con la DDR5 di nuova generazione,Giải phóng sức mạnh máy tính với DDR5 thế hệ mới,ปลดพลังคอมพิวเตอร์ของคุณด้วย DDR5 เจนเนอเรชันถัดไป,Maksimalkan Performa Komputer Anda dengan DDR5 Generasi Berikutnya,أطلق العنان لقوة حاسوبك مع ذاكرة DDR5 من الجيل التالي,Bevrijd de kracht van uw pc met next-gen DDR5,Uwolnij moc swojego komputera dzięki pamięci DDR5 nowej generacji,Frigör din dators kraft med nästa generations DDR5,Yeni Nesil DDR5 ile Bilgisayarınızın Gücünü Serbest Bırakın,Unleash Your Computer with Next-Gen DDR5
USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2,USB 3.2
Wear Leveling,磨损均衡,磨損均衡,ウェアレベリング,웨어 레벨링,Nivellement d'usure,Wear-Leveling,Nivelación de desgaste,Nivelamento de desgaste,Nivelamento de desgaste,Выравнивание износа,Wear Leveling,Cân bằng mài mòn,การปรับระดับการสึกหรอ,Penyelarasan Keausan,تسوية التآكل,Slijtage egalisatie,Wyrównywanie zużycia,Slitageutjämning,Aşınma Dengeleme,Wear Leveling
Write Speed,写入速度,寫入速度,書き込み速度,쓰기 속도,Vitesse d'écriture,Schreibgeschwindigkeit,Velocidad de escritura,Velocidade de gravação,Velocidade de gravação,Скорость записи,Velocità di scrittura,Tốc độ ghi,ความเร็วเขียน,Kecepatan Tulis,سرعة الكتابة,Schrijfsnelheid,Prędkość zapisu,Skrivhastighet,Yazma Hızı,Write Speed
Backward Compatible,向下兼容,向下相容,下位互換,하위 호환,Rétrocompatible,Rückwärtskompatibel,Retrocompatible,Retrocompatível,Retrocompatível,Обратная совместимость,Retrocompatibile,Tương thích ngược,เข้ากันได้แบบย้อนกลับ,Kompatibel mundur,متوافق عكسي,Achterwaarts compatibel,Wstecznie kompatibel,Bakåtkompatibel,Geriye Dönük Uyumlu,Backward Compatible
Compact & Portable,小巧便携,輕巧便攜,コンパクトで持ち運びに便利,컴팩트하고 휴대성이 뛰어난,Compact et portable,Kompakt und portabel,Compacto y portátil,Compacto e portátil,Compacto e portátil,Компактный и портативный,Compatto e portatile,Nhỏ gọn và dễ mang theo,กะทัดรัดพกพาง่าย,Kompak dan Portabel,صغير ومحمول,Kompact en draagbaar,Kompaktowy i przenośny,Kompakt och bärbar,Küçük ve Taşınabilir,Compact & Portable
Drop proof,防摔,防摔,耐落下,내낙하,Résistant aux chutes,Sturzsicher,Resistente a caídas,Resistente a quedas,Resistente a quedas,Защита от падений,Resistente alle cadute,Chống rơi,ทนทานต่อการตกหล่น,Tahan Jatuh,تقاوم السقوط,Valbestendig,Odporność na upadki,Falltålig,Düşmeye Dayanıklı,Drop proof
Impact proof,防冲击,防衝擊,耐衝撃,내충격,Résistance aux chocs,Schlagfest,Resistente a impactos,Resistente a impactos,Resistente a impactos,Устойчивость к ударам,Resistente agli impatti,Chống va đập,ทนต่อแรงปะทะ,Tahan Benturan,تتحمل الارتطام,Stootvast,Odporność na uderzenia,Slagtålig,Darbeye Dayanıklı,Impact proof
IPx7 Water proof,IPX7 级防水,IPX7 級防水,IPX7防水,IPX7 등급 방수,Étanchéité IPX7,IPX7-wasserdicht,Resistente al agua con certificación IPX7,Resistente à água com certificação IPX7,Resistente à água com certificação IPX7,Водонепроницаемость IPX7,Impermeabile IPX7,Kháng nước IPX7,กันน้ำระดับ IPX7,Tahan Air IPX7,مقاومة للماء IPX7,IPX7 waterdicht,Wodoodporność IPx7,IPX7 vattentät,IPX7 Su Geçirmez,IPx7 Water proof
Magnet proof,防磁,防磁,耐磁,내자성,Antimagnétique,Magnetsicher,Protección antimagnética,Proteção antimagnética,Proteção antimagnética,Устойчивость к магнитным полям,Resistente ai campi magnetici,Chống từ trường,ทนทานต่อสนามแม่เหล็ก,Tahan Magnet,مقاومة المغناطيسية,Magneetbestendig,Odporność na magnesy,Magnetsäker,Mıknatısa Dayanıklı,Magnet proof
No dropped frames,拒绝掉帧,拒絕掉幀,コマ落ちなし,프레임 드롭 없음,Aucune perte d'images,Keine Frame-Drops,Sin pérdida de fotogramas,Sem perda de quadros,Sem perda de quadros,Без потери кадров,Nessuna perdita di frame,Không rớt frame,ไม่มีเฟรมหลุด,Tanpa penurunan frame,لا إطارات مفقودة,Geen frameverlies,Bez gubienia klatek,Inga tappade bildrutor,Kare kaybı yok,No dropped frames
No sudden speed drop,拒绝突然掉速,拒絕突然掉速,突然の速度低下なし,갑작스러운 속도 저하 없음,Aucune chute de vitesse soudaine,Kein plötzlicher Geschwindigkeitsabfall,Sin caídas repentinas de velocidad,Sem quedas repentinas de velocidade,Sem quedas repentinas de velocidade,Без внезапных падений скорости,Nessun calo improvviso di velocità,Không giảm tốc độ đột ngột,ไม่มีความเร็วตกกะทันหัน,Tanpa penurunan kecepatan mendadak,لا انخفاض مفاجئ في السرعة,Geen plotselinge snelheidsdaling,Bez nagłych spadków prędkości,Inga plötsliga hastighetstapp,Ani hız düşüşü yok,No sudden speed drop
Plug and Play,即插即用,隨插即用,プラグアンドプレイ,플러그 앤 플레이,Plug and Play,Plug-and-Play,Plug and Play,Plug and Play,Plug and Play,Plug and Play,Plug and Play,Cắm và chạy,เสียบแล้วใช้งานได้,Plug and Play,التوصيل والتشغيل الفوري,Plug-and-Play,Plug and Play,Plug and Play,Tak ve Çalıştır,Plug and Play
Rigorously Tested,历经严苛测试,歷經嚴苛測試,厳格なテスト済み,엄격한 테스트 완료,Testé rigoureusement,Streng getestet,Rigurosamente probado,Rigorosamente testado,Rigorosamente testado,Прошло строгие испытания,Rigorosamente testato,Được kiểm nghiệm nghiêm ngặt,ผ่านการทดสอบอย่างเข้มงวด,Teruji Secara Ketat,تم اختباره بدقة,Streng getest,Rygorystyczne testy,Strikt testad,Titizlikle Test Edildi,Rigorously Tested
Seamless Compatibility,无缝兼容,無縫相容,シームレスな互換性,완벽한 호환성,Compatibilité transparente,Nahtlose Kompatibilität,Compatibilidad perfecta,Compatibilidade perfeita,Compatibilidade perfeita,Полная совместимость,Compatibilità perfetta,Tương thích hoàn hảo,เข้ากันได้อย่างไร้รอยต่อ,Kompatibilitas Sempurna,توافق تام,Naadloze compatibiliteit,Bezproblemowa kompatybilność,Sömlös kompatibilitet,Kusursuz Uyumluluk,Seamless Compatibility
Shock & Drop Resistant,抗震防摔,抗震防摔,耐衝撃・耐落下,내충격 및 내낙하,Résistant aux chocs et aux chutes,Stoß- und sturzsicher,Resistente a golpes y caídas,Resistente a choques e quedas,Resistente a choques e quedas,Ударопрочный и защищенный от падений,Resistente a urti e cadute,Chống va đập và rơi,ทนต่อแรงกระแทกและการตกหล่น,Tahan guncangan dan jatuh,مضاد للصدمات والسقوط,Schok- en valbestendig,Odporność na wstrząsy i upadki,Stöt- och falltålig,Şok ve Düşmeye Dayanıklı,Shock & Drop Resistant
Shock proof,防震,防震,耐衝撃性,내충격,Antichocs,Stoßfest,Resistente a golpes,Resistente a choques,Resistente a choques,Ударопрочность,Antiurto,Chống sốc,ทนทานต่อแรงกระแทก,Tahan Guncangan,مضادة للصدمات,Schokbestendig,Odporność na wstrząsy,Stöttålig,Şoka Dayanıklı,Shock proof
Stable & Reliable,稳定可靠,穩定可靠,安定性と信頼性,안정적이고 신뢰할 수 있는,Stable et fiable,Stabil und zuverlässig,Estable y fiable,Estável e fiável,Estável e confiável,Стабильный и надежный,Stabile e affidabile,Ổn định và đáng tin cậy,เสถียรและเชื่อถือได้,Stabil dan Andal,مستقر وموثوق,Stabiel en betrouwbaar,Stabilny i niezawodny,Stabil och pålitlig,Kararlı ve Güvenilir,Stable & Reliable
Temperature proof,耐高低温,耐高低溫,耐熱・耐寒,고온 및 저온 내구성,Résistance à la température,Temperaturbeständig,Resistente a temperaturas extremas,Resistente a temperaturas extremas,Resistente a temperaturas extremas,Устойчивость к экстремальным температурам,Resistente a temperature estreme,Chịu được nhiệt độ khắc nghiệt,ทนทานต่ออุณหภูมิ,Tahan Suhu,مقاومة لدرجات الحرارة,Temperatuurbestendig,Odporność na skrajne temperatury,Temperaturtålig,Sıcaklığa Dayanıklı,Temperature proof
Temperature Resistant,耐高低温,耐高低溫,耐温度,내온도,Résistant aux températures,Hitze- und kältebeständig,Resistente a la temperatura,Resistente à temperatura,Resistente à temperatura,Термостойкость,Resistente alla temperatura,Chịu nhiệt,ทนต่ออุณหภูมิ,Tahan suhu,مقاوم لدرجات الحرارة,Temperatuurbestendig,Odporność na skrajne temperatury,Temperaturtålig,Sıcaklığa Dayanıklı,Temperature Resistant
Wear out proof,抗磨损,抗磨損,耐摩耗,내마모,Résistance à l'usure,Verschleißfest,Resistente al desgaste,Resistente ao desgaste,Resistente ao desgaste,Износостойкость,Resistente all'usura,Chống mài mòn,ทนต่อการสึกหรอ,Tahan Aus,مقاومة التآكل,Slijtvast,Odporność na zużycie,Slitagetålig,Aşınmaya Dayanıklı,Wear out proof
Wide Compatibility,广泛兼容,廣泛相容,幅広い互換性,폭넓은 호환성,Large compatibilité,Umfassende Kompatibilität,Amplia compatibilidad,Ampla compatibilidade,Ampla compatibilidade,Широкая совместимость,Ampia compatibilità,Tương thích rộng rãi,เข้ากันได้กับอุปกรณ์หลากหลาย,Kompatibilitas Luas,توافق واسع,Brede compatibiliteit,Szeroka kompatybilność,Bred kompatibilitet,Geniş Uyumluluk,Wide Compatibility
X-ray proof,防 X 射线,防 X 射線,耐X線,X선 차단,Résistant aux rayons X,Röntgensicher,Resistente a los rayos X,Resistente aos raios X,Resistente aos raios X,Устойчивость к рентгеновскому излучению,Resistente ai raggi X,Chống tia X,ทนต่อรังสีเอกซ์,Tahan Sinar-X,تقاوم الأشعة السينية,Röntgenbestendig,Odporność na promieniowanie rentgenowskie,Röntgensäker,X-Işınlarına Dayanıklı,X-ray proof
Capture the Diamond Moments,定格高光珍贵瞬间,捕捉璀璨瞬間,輝かしい瞬間を逃さず記録,눈부신 순간을 포착하세요,Capturez les moments d'exception,Halten Sie Ihre wertvollsten Momente fest,Captura los momentos más valiosos,Capture os momentos mais preciosos,Capture os momentos mais preciosos,Запечатлейте бесценные моменты,Cattura i momenti più preziosi,Ghi lại những khoảnh khắc tỏa sáng,เก็บทุกช่วงเวลาอันล้ำค่า,Abadikan Momen Berharga,التقط اللحظات الثمينة,Leg de meest kostbare momenten vast,Uchwyć najcenniejsze chwile,Fånga de mest värdefulla ögonblicken,En Değerli Anları Yakalayın,Capture the Diamond Moments
