中文SC,英文EN,德 DE,法 FR,荷兰语NL,意大利 IT,西班牙 ES,葡萄牙语PT,俄语RU,波兰语PL,日语,繁体中文TC,韩语,,,,,,,
4．邀请家人和朋友,4. Invite family and friends,4. Familie und Freunde einladen,4. Inviter la famille et les amis,4. Familie en vrienden uitnodigen,4. Invita familiari e amici,4. Invitar a familiares y amigos,4. Convidar familiares e amigos,4. Пригласите семью и друзей,4. Zaproś rodzinę i znajomych,4. 家族や友人を招待する,4．邀請家人和朋友,4. 가족 및 친구 초대하기,,,,,,,
"在相框上点击“添加好友”图标。
将生成的代码分享给家人和朋友。
他们就可以在 Frameo App 中使用该代码添加相框，然后分享照片和视频了。","Tap the ""Add Friend"" icon on the frame.
Share the code with your family and friends.
They can use the code in the Frameo App to add the frame and share photos and videos.","Tippen Sie auf das Symbol „Freund hinzufügen“ am Rahmen.
Teilen Sie den generierten Code mit Familie und Freunden.
Sie können den Code in der Frameo App verwenden, um den Rahmen hinzuzufügen und anschließend Fotos und Videos zu teilen.","Appuyez sur l’icône « Ajouter un ami » sur le cadre.
Partagez le code généré avec votre famille et vos amis.
Ils peuvent utiliser ce code dans l’app Frameo pour ajouter le cadre, puis partager des photos et des vidéos.","Tik op het pictogram ‘Vriend toevoegen’ op de fotolijst.
Deel de gegenereerde code met familie en vrienden.
Zij kunnen de code in de Frameo-app gebruiken om de fotolijst toe te voegen en vervolgens foto’s en video’s te delen.","Tocca l’icona “Aggiungi amico” sulla cornice.
Condividi il codice generato con familiari e amici.
Possono utilizzare il codice nell’app Frameo per aggiungere la cornice e poi condividere foto e video.","Pulsa el icono “Agregar amigo” en el marco.
Comparte el código generado con familiares y amigos.
Pueden usar el código en la app Frameo para añadir el marco y luego compartir fotos y vídeos.","Toque no ícone “Adicionar amigo” na moldura.
Partilhe o código gerado com familiares e amigos.
Podem usar o código na app Frameo para adicionar a moldura e depois partilhar fotos e vídeos.","Нажмите на значок «Добавить друга» на фоторамке.
Поделитесь сгенерированным кодом с семьёй и друзьями.
Они могут использовать этот код в приложении Frameo, чтобы добавить фоторамку, а затем делиться фотографиями и видео.","Dotknij ikony „Dodaj znajomego” na ramce.
Udostępnij wygenerowany kod rodzinie i znajomym.
Mogą użyć tego kodu w aplikacji Frameo, aby dodać ramkę, a następnie udostępniać zdjęcia i filmy.","フレームの「フレンドの追加」アイコンをタップします。
生成されたコードを家族や友人と共有します。
Frameoアプリでコードを使用してフレームを追加し、その後写真や動画を共有できます。","在相框上點擊「添加好友」圖示。
將產生的代碼分享給家人和朋友。
他們可以在 Frameo App 中使用該代碼新增相框，然後分享照片和影片。","프레임에서 ""친구 추가"" 아이콘을 탭하세요.
생성된 코드를 가족 및 친구와 공유하세요.
해당 코드를 Frameo 앱에서 사용해 프레임을 추가한 후 사진과 동영상을 공유할 수 있습니다.",,,,,,,
,,,,,,,,,,,,,,,,,,,
扫描二维码了解更多使用说明。,Scan the QR code for more instructions.,"Scannen Sie den QR-Code, um weitere Anleitungen zu erhalten.",Scannez le code QR pour plus d’instructions.,Scan de QR-code voor meer instructies.,Scansiona il codice QR per ulteriori istruzioni.,Escanea el código QR para más instrucciones.,Digitalize o código QR para mais instruções.,"Отсканируйте QR-код, чтобы получить дополнительные инструкции.","Zeskanuj kod QR, aby uzyskać więcej instrukcji.",QRコードをスキャンして、さらに詳しい操作方法をご確認ください。,掃描二維碼了解更多使用說明。,QR 코드를 스캔하여 더 많은 사용 방법을 확인하세요.,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
包装内容,In the Box,Lieferumfang,Contenu du coffret,Inhoud verpakking,Contenuto della confezione,Contenido de la caja,Conteúdo da caixa,Комплект поставки,Zawartość opakowania,同梱物,包裝內容,구성품,,,,,,,
"Pexar 相框
相框支架
电源适配器（因地区而异）
快速入门指南","Pexar Frame
Frame stand
Power adapter (varies by region)
Quick start guide","Pexar Bilderrahmen
Ständer
Netzteil (variiert je nach Region)
Schnellstartanleitung","Pexar Cadre photo
Support
Adaptateur secteur (varie selon la région)
Guide de démarrage rapide","Pexar Fotolijst
Standaard
Voedingsadapter (verschilt per regio)
Snelstartgids","Pexar Cornice
Supporto
Alimentatore (varia a seconda della regione)
Guida di avvio rapido","Pexar Marco
Soporte
Adaptador de corriente (varía según la región)
Guía de inicio rápido","Pexar Moldura
Suporte
Adaptador de energia (varia conforme a região)
Guia de início rápido","Pexar Фоторамка
Подставка
Адаптер питания (в зависимости от региона)
Краткое руководство","Pexar Ramka
Podstawka
Zasilacz (zależnie od regionu)
Skrócona instrukcja obsługi","Pexarフォトフレーム
スタンド
電源アダプター（地域によって異なります）
クイックスタートガイド","Pexar 相框
相框支架
電源供應器（因地區而異）
快速入門指南","Pexar 디지털 액자
스탠드
전원 어댑터(지역에 따라 다름)
빠른 시작 가이드",,,,,,,
,,,,,,,,,,,,,,,,,,,
产品概览,Product Overview,Produktübersicht,Présentation du produit,Productoverzicht,Panoramica del prodotto,Descripción general del producto,Visão geral do produto,Обзор продукта,Przegląd produktu,製品概要,產品概覽,제품 개요,,,,,,,
"1. 电源接口
2. 电源按钮
3. 相框支架
4. 支架安装槽
5. 触控屏
6. SD 卡槽 – 支持使用 exFAT/FAT32 格式的 SD 卡传输或播放照片。
7. USB-A接口 – 支持使用 exFAT/FAT32 格式的 U 盘传输或播放照片。
8. USB-C接口 – 仅支持使用 USB-C 线缆从 Windows 电脑传输照片。（传输照片前，请先在相框上启用此功能：设置 → 我的相框 → 图片管理 → 导入 → 从电脑导入。）","1. Power port
2. Power button
3. Frame stand
4. Stand mount slot
5. Touchscreen
6. SD Card Slot – Supports an SD card formatted as exFAT/FAT32 for transferring or playing photos.
7. USB-A Port – Supports a USB flash drive formatted as exFAT/FAT32 for transferring or playing photos.
8. USB-C Port – Only for transferring photos from a Windows PC using a USB-C cable. (Before transferring photos, enable this feature on your frame: Settings → My Frame → Manage Photos → Import → Transfer from computer.)","1. Stromanschluss
2. Ein-/Aus-Taste
3. Ständer
4. Standhalterungsschlitz
5. Touchscreen
6. SD-Kartensteckplatz – Unterstützt SD-Karten im exFAT-/FAT32-Format zur Übertragung oder Wiedergabe von Fotos.
7. USB-A-Anschluss – Unterstützt USB-Sticks im exFAT-/FAT32-Format zur Übertragung oder Wiedergabe von Fotos.
8. USB-C-Anschluss – Nur zur Übertragung von Fotos von einem Windows-PC mit einem USB-C-Kabel. (Aktivieren Sie diese Funktion vor der Fotoübertragung auf Ihrem Rahmen: Einstellungen → Fotos verwalten → Vom Computer übertragen.)","1. Port d’alimentation
2. Bouton d’alimentation
3. Support du cadre
4. Fente de fixation du support
5. Écran tactile
6. Emplacement pour carte SD – Prend en charge les cartes SD au format exFAT/FAT32 pour transférer ou lire des photos.
7. Port USB-A – Prend en charge les clés USB au format exFAT/FAT32 pour transférer ou lire des photos.
8. Port USB-C – Uniquement pour transférer des photos depuis un PC Windows à l’aide d’un câble USB-C. (Avant de transférer des photos, activez cette fonction sur votre cadre : Réglages → Gérer les photos → Transférer depuis un ordinateur.)","1. Voedingspoort
2. Aan/uit-knop
3. Fotolijststandaard
4. Standaardsleuf
5. Touchscreen
6. SD-kaartsleuf – Ondersteunt SD-kaarten in exFAT-/FAT32-formaat voor het overzetten of afspelen van foto’s.
7. USB-A-poort – Ondersteunt USB-sticks in exFAT-/FAT32-formaat voor het overzetten of afspelen van foto’s.
8. USB-C-poort – Alleen voor het overzetten van foto’s vanaf een Windows-pc met een USB-C-kabel. (Schakel deze functie in op uw fotolijst voordat u foto’s overzet: Instellingen → Foto’s beheren → Overzetten vanaf computer.)","1. Porta di alimentazione
2. Pulsante di accensione
3. Supporto della cornice
4. Slot di montaggio del supporto
5. Touchscreen
6. Slot per scheda SD – Supporta schede SD formattate in exFAT/FAT32 per trasferire o riprodurre foto.
7. Porta USB-A – Supporta unità USB formattate in exFAT/FAT32 per trasferire o riprodurre foto.
8. Porta USB-C – Solo per trasferire foto da un PC Windows tramite un cavo USB-C. (Prima di trasferire le foto, attivare questa funzione sulla cornice: Impostazioni → Gestisci foto → Trasferisci da computer.)","1. Puerto de alimentación
2. Botón de encendido
3. Soporte del marco
4. Ranura de montaje del soporte
5. Pantalla táctil
6. Ranura para tarjeta SD – Compatible con tarjetas SD en formato exFAT/FAT32 para transferir o reproducir fotos.
7. Puerto USB-A – Compatible con unidades USB en formato exFAT/FAT32 para transferir o reproducir fotos.
8. Puerto USB-C – Solo para transferir fotos desde un PC con Windows mediante un cable USB-C. (Antes de transferir fotos, active esta función en el marco: Ajustes → Gestionar fotos → Transferir desde el ordenador.)","1. Porta de alimentação
2. Botão de energia
3. Suporte da moldura
4. Ranhura de montagem do suporte
5. Ecrã tátil
6. Ranhura para cartão SD – Suporta cartões SD formatados em exFAT/FAT32 para transferir ou reproduzir fotos.
7. Porta USB-A – Suporta unidades USB formatadas em exFAT/FAT32 para transferir ou reproduzir fotos.
8. Porta USB-C – Apenas para transferir fotos de um PC Windows utilizando um cabo USB-C. (Antes de transferir fotos, ative esta função na moldura: Definições → Gerir fotos → Transferir do computador.)","1. Разъём питания
2. Кнопка питания
3. Подставка фоторамки
4. Слот крепления подставки
5. Сенсорный экран
6. Слот для SD-карты – Поддерживает SD-карты в формате exFAT/FAT32 для передачи или воспроизведения фотографий.
7. Порт USB-A – Поддерживает USB-накопители в формате exFAT/FAT32 для передачи или воспроизведения фотографий.
8. Порт USB-C – Только для передачи фотографий с ПК под управлением Windows с помощью кабеля USB-C. (Перед передачей фотографий включите эту функцию на фоторамке: Настройки → Управление фотографиями → Передача с компьютера.)","1. Port zasilania
2. Przycisk zasilania
3. Podstawka ramki
4. Gniazdo montażowe podstawki
5. Ekran dotykowy
6. Gniazdo karty SD – Obsługuje karty SD sformatowane w systemie exFAT/FAT32 do przesyłania lub odtwarzania zdjęć.
7. Port USB-A – Obsługuje pamięci USB sformatowane w systemie exFAT/FAT32 do przesyłania lub odtwarzania zdjęć.
8. Port USB-C – Służy wyłącznie do przesyłania zdjęć z komputera z systemem Windows za pomocą kabla USB-C. (Przed przesyłaniem zdjęć włącz tę funkcję na ramce: Ustawienia → Zarządzaj zdjęciami → Przesyłanie z komputera.)","1. 電源ポート
2. 電源ボタン
3. フレームスタンド
4. スタンド取付スロット
5. タッチスクリーン
6. SDカードスロット – exFAT/FAT32形式のSDカードを使用して、写真の転送または再生ができます。
7. USB-Aポート – exFAT/FAT32形式のUSBメモリを使用して、写真の転送または再生ができます。
8. USB-Cポート – USB-Cケーブルを使用してWindows PCから写真を転送する場合にのみ使用します。（写真を転送する前に、フレームでこの機能を有効にしてください：設定 → 写真を管理 → コンピュータから転送。）","1. 電源接口
2. 電源按鈕
3. 相框支架
4. 支架安裝槽
5. 觸控螢幕
6. SD 卡槽 – 支援使用 exFAT/FAT32 格式的 SD 卡傳輸或播放照片。
7. USB-A接口 – 支援使用 exFAT/FAT32 格式的 USB 隨身碟傳輸或播放照片。
8. USB-C接口 – 僅支援使用 USB-C 線材從 Windows 電腦傳輸照片。（傳輸照片前，請先在相框上啟用此功能：設定 → 管理照片 → 從電腦傳輸。）","1. 전원 포트
2. 전원 버튼
3. 스탠드
4. 스탠드 장착 슬롯
5. 터치스크린
6. SD 카드 슬롯 – exFAT/FAT32 형식의 SD 카드를 사용해 사진을 전송하거나 재생할 수 있습니다.
7. USB-A 포트 – exFAT/FAT32 형식의 USB 드라이브를 사용해 사진을 전송하거나 재생할 수 있습니다.
8. USB-C 포트 – USB-C 케이블을 사용해 Windows PC에서 사진을 전송할 때만 사용합니다. (사진 전송 전, 프레임에서 이 기능을 먼저 활성화하세요: 설정 → 사진 관리 → 컴퓨터에서 전송.)",,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
常见问题,Frequently Asked Questions,Häufig gestellte Fragen,Questions fréquentes,Veelgestelde vragen,Domande frequenti,Preguntas frecuentes,Perguntas frequentes,Часто задаваемые вопросы,Najczęściej zadawane pytania,よくある質問,常見問題,자주 묻는 질문,,,,,,,
1、如何一次发送多张照片？,1. How do I send multiple photos at a time?,1. Wie kann ich mehrere Fotos gleichzeitig senden?,1. Comment envoyer plusieurs photos à la fois ?,1. Hoe kan ik meerdere foto’s tegelijk verzenden?,1. Come posso inviare più foto contemporaneamente?,1. ¿Cómo puedo enviar varias fotos a la vez?,1. Como posso enviar várias fotos de uma só vez?,1. Как отправить несколько фотографий одновременно?,1. Jak mogę przesłać wiele zdjęć jednocześnie?,1. 複数の写真を一度に送信するにはどうすればよいですか？,1、如何一次傳送多張照片？,1. 여러 장의 사진을 한 번에 보내려면 어떻게 하나요?,,,,,,,
"通过 Frameo App，一次最多可发送 10 张照片。
有两种选择方式：
长按选择：在 Frameo App 中长按一张照片，照片上会出现勾选标记。点击其他照片即可进行多选。
多选按钮：点击相机图标上方的按钮后，所有照片上都会出现勾选标记，可选择要发送的照片。

如需一次传输超过 10 张照片，可使用 SD 卡、USB-A 存储盘，或通过 USB 线将Pexar 相框连接到 Windows 电脑进行导入。（传输照片前，请先在相框上启用此功能：设置 → 管理照片 → 从电脑传输。）","

You can send up to 10 photos at a time from the Frameo App.
There are two ways to select multiple photos:
Tap and hold: Tap and hold a photo in the Frameo App, and checkmarks will appear. Tap the photos you want to send.
Multi-select button: Tap the button above the camera icon, and checkmarks will appear on all photos for multiple selection.

To transfer more than 10 photos at a time, you can import photos using an SD card, USB-A drive, or by connecting your Pexar frame to a Windows PC with a USB cable. (Before transferring photos, enable this feature on your frame: Settings → Manage photos → Transfer from computer.)","Mit der Frameo App können bis zu 10 Fotos gleichzeitig gesendet werden.
Es gibt zwei Möglichkeiten, mehrere Fotos auszuwählen:
Gedrückt halten: Halten Sie ein Foto in der Frameo App gedrückt. Ein Häkchen erscheint auf dem Foto. Tippen Sie auf weitere Fotos, um mehrere auszuwählen.
Mehrfachauswahl: Tippen Sie auf die Schaltfläche über dem Kamerasymbol. Auf allen Fotos erscheinen Häkchen, sodass mehrere Fotos ausgewählt werden können.

Wenn Sie mehr als 10 Fotos gleichzeitig übertragen möchten, können Sie Fotos über eine SD-Karte, einen USB-A-Stick oder durch Verbinden Ihres Pexar Rahmens mit einem Windows-PC per USB-Kabel importieren. (Aktivieren Sie diese Funktion vor der Fotoübertragung auf Ihrem Rahmen: Einstellungen → Fotos verwalten → Vom Computer übertragen.)","Avec l’app Frameo, il est possible d’envoyer jusqu’à 10 photos à la fois.
Il existe deux façons de sélectionner plusieurs photos :
Appui long : Appuyez longuement sur une photo dans l’app Frameo. Une coche apparaîtra sur la photo. Touchez d’autres photos pour effectuer une sélection multiple.
Bouton de sélection multiple : Touchez le bouton situé au-dessus de l’icône de l’appareil photo. Des coches apparaîtront sur toutes les photos pour permettre une sélection multiple.

Pour transférer plus de 10 photos à la fois, vous pouvez importer des photos à l’aide d’une carte SD, d’une clé USB-A ou en connectant votre cadre Pexar à un PC Windows avec un câble USB. (Avant de transférer des photos, activez cette fonction sur votre cadre : Réglages → Gérer les photos → Transférer depuis un ordinateur.)","Met de Frameo-app kunnen maximaal 10 foto’s tegelijk worden verzonden.
Er zijn twee manieren om meerdere foto’s te selecteren:
Ingedrukt houden: Houd een foto in de Frameo-app ingedrukt. Er verschijnt een vinkje op de foto. Tik op andere foto’s om meerdere foto’s te selecteren.
Meervoudige selectie: Tik op de knop boven het camera-icoon. Er verschijnen vinkjes op alle foto’s voor meervoudige selectie.

Om meer dan 10 foto’s tegelijk over te zetten, kunt u foto’s importeren met een SD-kaart, USB-A-stick of door uw Pexar-fotolijst met een USB-kabel op een Windows-pc aan te sluiten. (Schakel deze functie in op uw fotolijst voordat u foto’s overzet: Instellingen → Foto’s beheren → Overzetten vanaf computer.)","Con l’app Frameo è possibile inviare fino a 10 foto alla volta.
Esistono due modi per selezionare più foto:
Tieni premuto: Tieni premuta una foto nell’app Frameo. Sulla foto apparirà un segno di spunta. Tocca altre foto per selezionarle.
Pulsante di selezione multipla: Tocca il pulsante sopra l’icona della fotocamera. Su tutte le foto appariranno i segni di spunta per la selezione multipla.

Per trasferire più di 10 foto alla volta, puoi importare le foto utilizzando una scheda SD, un’unità USB-A oppure collegando la tua cornice Pexar a un PC Windows con un cavo USB. (Prima di trasferire le foto, attiva questa funzione sulla cornice: Impostazioni → Gestisci foto → Trasferisci da computer.)","Con la app Frameo, puedes enviar hasta 10 fotos a la vez.
Hay dos formas de seleccionar varias fotos:
Mantener pulsado: Mantén pulsada una foto en la app Frameo. Aparecerá una marca de verificación en la foto. Toca otras fotos para seleccionarlas.
Botón de selección múltiple: Toca el botón situado encima del icono de la cámara. Aparecerán marcas de verificación en todas las fotos para la selección múltiple.

Para transferir más de 10 fotos a la vez, puedes importar fotos mediante una tarjeta SD, una unidad USB-A o conectando tu marco Pexar a un PC con Windows mediante un cable USB. (Antes de transferir fotos, activa esta función en el marco: Ajustes → Gestionar fotos → Transferir desde el ordenador.)","Com a app Frameo, pode enviar até 10 fotos de cada vez.
Existem duas formas de selecionar várias fotos:
Toque e mantenha pressionado: Toque e mantenha pressionada uma foto na app Frameo. Aparecerá uma marca de verificação na foto. Toque noutras fotos para as selecionar.
Botão de seleção múltipla: Toque no botão acima do ícone da câmara. As marcas de verificação aparecerão em todas as fotos para seleção múltipla.

Para transferir mais de 10 fotos de cada vez, pode importar fotos utilizando um cartão SD, uma unidade USB-A ou ligando a sua moldura Pexar a um PC Windows com um cabo USB. (Antes de transferir fotos, ative esta função na moldura: Definições → Gerir fotos → Transferir do computador.)","В приложении Frameo можно отправить до 10 фотографий за один раз.
Есть два способа выбрать несколько фотографий:
Нажмите и удерживайте: Нажмите и удерживайте фотографию в приложении Frameo. На фотографии появится галочка. Нажмите на другие фотографии, чтобы выбрать их.
Кнопка множественного выбора: Нажмите кнопку над значком камеры. Галочки появятся на всех фотографиях для множественного выбора.

Чтобы передать более 10 фотографий за один раз, вы можете импортировать фотографии с помощью SD-карты, USB-A-накопителя или подключив вашу фоторамку Pexar к ПК с Windows с помощью USB-кабеля. (Перед передачей фотографий включите эту функцию на фоторамке: Настройки → Управление фотографиями → Передача с компьютера.)","W aplikacji Frameo można przesłać do 10 zdjęć jednocześnie.
Istnieją dwa sposoby wyboru wielu zdjęć:
Dotknij i przytrzymaj: Dotknij i przytrzymaj zdjęcie w aplikacji Frameo. Na zdjęciu pojawi się znacznik wyboru. Dotknij innych zdjęć, aby je wybrać.
Przycisk wielokrotnego wyboru: Dotknij przycisku nad ikoną aparatu. Znaczniki wyboru pojawią się na wszystkich zdjęciach, umożliwiając wielokrotny wybór.

Aby przesłać więcej niż 10 zdjęć jednocześnie, możesz importować zdjęcia za pomocą karty SD, pamięci USB-A lub podłączając swoją ramkę Pexar do komputera z systemem Windows za pomocą kabla USB. (Przed przesyłaniem zdjęć włącz tę funkcję na ramce: Ustawienia → Zarządzaj zdjęciami → Przesyłanie z komputera.)","Frameoアプリでは、一度に最大10枚の写真を送信できます。
複数の写真を選択する方法は2つあります。
長押しで選択：Frameoアプリで写真を長押しすると、写真にチェックマークが表示されます。送信したい写真をタップして選択してください。
複数選択ボタン：カメラアイコンの上にあるボタンをタップすると、すべての写真にチェックマークが表示され、複数選択できます。

一度に10枚以上の写真を転送する場合は、SDカード、USB-Aメモリ、またはUSBケーブルでPexarフレームをWindows PCに接続して写真をインポートできます。（写真を転送する前に、フレームでこの機能を有効にしてください：設定 → 写真を管理 → コンピュータから転送。）","透過 Frameo App，一次最多可傳送 10 張照片。
有兩種選擇方式：
長按選擇：在 Frameo App 中長按一張照片，照片上會出現勾選標記。點擊其他照片即可進行多選。
多選按鈕：點擊相機圖示上方的按鈕後，所有照片上都會出現勾選標記，可選擇要傳送的照片。

如需一次傳輸超過 10 張照片，可使用 SD 卡、USB-A 儲存裝置，或透過 USB 線將Pexar 相框連接到 Windows 電腦進行匯入。（傳輸照片前，請先在相框上啟用此功能：設定 → 管理照片 → 從電腦傳輸。）","Frameo 앱에서는 한 번에 최대 10장의 사진을 보낼 수 있습니다.
여러 장의 사진을 선택하는 방법은 두 가지가 있습니다.
길게 눌러 선택: Frameo 앱에서 사진을 길게 누르면 사진에 체크 표시가 나타납니다. 전송할 사진을 눌러 선택하세요.
다중 선택 버튼: 카메라 아이콘 위에 있는 버튼을 누르면 모든 사진에 체크 표시가 나타나 여러 장을 선택할 수 있습니다.

한 번에 10장 이상의 사진을 전송하려면 SD 카드, USB-A 드라이브를 사용하거나 USB 케이블로 Pexar 프레임을 Windows PC에 연결해 사진을 가져올 수 있습니다. (사진 전송 전, 프레임에서 이 기능을 먼저 활성화하세요: 설정 → 사진 관리 → 컴퓨터에서 전송.)",,,,,,,
,,,,,,,,,,,,,,,,,,,
2、如何一次发送超过 10 张照片？,2. How do I send more than 10 photos at a time?,2. Wie kann ich mehr als 10 Fotos gleichzeitig senden?,2. Comment envoyer plus de 10 photos à la fois ?,2. Hoe kan ik meer dan 10 foto’s tegelijk verzenden?,2. Come posso inviare più di 10 foto contemporaneamente?,2. ¿Cómo puedo enviar más de 10 fotos a la vez?,2. Como posso enviar mais de 10 fotos de uma só vez?,2. Как отправить более 10 фотографий одновременно?,2. Jak mogę przesłać więcej niż 10 zdjęć jednocześnie?,2. 10枚以上の写真を一度に送信するにはどうすればよいですか？,2、如何一次傳送超過 10 張照片？,2. 한 번에 10장 이상의 사진을 보내려면 어떻게 하나요?,,,,,,,
