# MasterGo 翻译扫描结果
# 导出时间,"07/11/2026, 03:43:57 PM"
# 页面名称,NM1090 PRO-OW/VN-NM1090 PRO-OW

序号,节点ID,原文,译文,重复
19,3915:08383,"Paired with the latest AMD and Intel CPUs and PCIe 5.0 motherboards, it achieves the perfect match for ultimate performance. It is also backward compatible with PCIe 3.0 and PCIe 4.0 systems to ensure extensive applicability.","Khi kết hợp với các CPU AMD và Intel mới nhất cùng bo mạch chủ PCIe 5.0, sản phẩm tạo nên sự kết hợp hoàn hảo để đạt hiệu năng tối đa. Ổ cứng cũng tương thích ngược với các hệ thống PCIe 3.0 và PCIe 4.0, đảm bảo khả năng tương thích rộng rãi.",1
20,3915:08386,"Offers advanced performance and simultaneously achieves better power management. The controller's temperature is reduced by 38%*, ensuring that the hard drive remains cool during high-load operation and provides a smoother performance experience.
","Mang lại hiệu năng vượt trội đồng thời tối ưu hóa quản lý năng lượng. Nhiệt độ controller giảm tới 38%*, đảm bảo ổ cứng luôn mát mẻ khi hoạt động ở tải cao và mang lại trải nghiệm hiệu năng mượt mà hơn.
",1
21,3915:08389,"Performance 
for the Next Level","Hiệu năng
vươn tầm cao mới",1
22,3915:08392 | 3915:08395 | 3915:08398,* Speeds based on internal testing. Actual performance may vary.,* Tốc độ dựa trên thử nghiệm nội bộ. Hiệu năng thực tế có thể thay đổi.,3处相同
23,3915:08401,"*Due to different measurement methods between manufacturers and operating systems, the actual displayed usable capacity will be lower than nominal capacity - approximately 3,725GB for rounded 4,000GB SSDs and 3,814GB for full-capacity 4,096GB SSDs. Displayed capacity varies by operating system.","*Due to different measurement methods between manufacturers and operating systems, the actual displayed usable capacity will be lower than nominal capacity - approximately 3,725GB for rounded 4,000GB SSDs and 3,814GB for full-capacity 4,096GB SSDs. Displayed capacity varies by operating system.",1
24,3915:08404,"* 5-year warranty or TBW, whichever comes first.","* Bảo hành 5 năm hoặc TBW, tùy điều kiện nào đến trước.",1
25,3915:08407,Lexar® Professional NM1090 PRO PCIe 5.0 NVMe M.2 2280 SSD,Ổ Cứng SSD Lexar® Professional NM1090 PRO PCIe 5.0 NVMe M.2 2280,1
26,3915:08418,38%,38%,1
27,3915:08422,32%,32%,1
28,3915:08428,"Controller Temperature 
Reduction","Giảm nhiệt độ
Controller",1
29,3915:08432,"S.M.A.R.T. Temperature 
Reduction","Giảm nhiệt độ
S.M.A.R.T.",1
30,3915:08440,Unleash the Gaming Power,Giải Phóng Sức Mạnh Gaming,1
31,3915:08444,Ultimate Performance for AI PC,Hiệu năng đỉnh cao cho AI PC,1
32,3915:08448,New Creative Experience,Trải Nghiệm Sáng Tạo Mới,1
33,3915:08452,Support Microsoft DirectStorage technology significantly reduces game load time.,"Hỗ trợ công nghệ Microsoft DirectStorage, giúp giảm đáng kể thời gian tải game.",1
34,3915:08456,Meets AIPC's high-end demands with exceptional performance and vast capacity.,Đáp ứng nhu cầu cao cấp của AIPC với hiệu năng vượt trội và dung lượng lớn.,1
35,3915:08460,"Boosts rendering speeds, turning ideas into reality instantly.","Tăng tốc độ kết xuất, biến ý tưởng thành hiện thực ngay lập tức.",1
36,3915:08469,"Firmware
upgrades","Nâng Cấp
Firmware",1
37,3915:08473,"Performance
optimization","Tối Ưu Hóa
Hiệu Suất",1
38,3915:08477,"Data 
security","Bảo Mật
Dữ Liệu",1
39,3915:08481,"Health
monitoring","Theo Dõi
Sức Khỏe",1
40,3915:08498,"Accelerate Load Times 
by up to 200%","Tăng tốc thời gian tải
lên đến 200%",1
41,3915:08505,Up to,Lên đến,1
42,3915:08509 | 3915:08672 | 3915:08734 | 3915:08795,8TB,8TB,4处相同
43,3915:08521,Selling point 6,Điểm nổi bật 6,1
44,3915:08528,"Lexar DiskMaster
Easy Drive Management","Lexar DiskMaster
Quản lý ổ cứng dễ dàng",1
45,3915:08541,4K Random Read Up to,Đọc Ngẫu Nhiên 4K Lên Đến,1
46,3915:08545,2100K IOPS,2100K IOPS,1
47,3915:08550,Selling point 2,Điểm nổi bật 2,1
48,3915:08556,"DRAM Cache 
SLC Dynamic Cache","Bộ nhớ đệm DRAM
Bộ nhớ đệm SLC động",1
49,3915:08560,"Rounded nominal capacity

","Dung lượng danh nghĩa đã làm tròn
",1
50,3915:08564,Full nominal capacity,Dung lượng danh định đầy đủ,1
51,3915:08568,4000GB*,4000GB*,1
52,3915:08572,4096GB*,4096GB*,1
53,3915:08652,A non-full capacity 4TB SSD,Ổ cứng SSD 4TB không đủ dung lượng,1
54,3915:08656,NM1090 PRO 4TB,NM1090 PRO 4TB,1
55,3915:08661,Best Match for AI PCs,Lựa Chọn Tối Ưu Cho PC AI,1
56,3915:08664,"The NM1090 PRO SSD offers superior Gen 5 performance and a huge 8TB capacity to eliminate bottlenecks and speed up AI model training, inference, and real-time data processing. ","Ổ cứng SSD NM1090 PRO mang lại hiệu năng Gen 5 vượt trội cùng dung lượng khổng lồ 8TB, giúp loại bỏ các điểm nghẽn và tăng tốc quá trình huấn luyện mô hình AI, suy luận và xử lý dữ liệu theo thời gian thực.",1
57,3915:08668 | 3915:08730 | 3915:08791,4TB,4TB,3处相同
58,3915:08676 | 3915:08738 | 3915:08782,2TB,2TB,3处相同
59,3915:08680 | 3915:08742 | 3915:08773,1TB,1TB,3处相同
60,3915:08684 | 3915:08692 | 3915:08704,2100K,2100K,3处相同
61,3915:08688,2000K,2000K,1
62,3915:08696,1650K,1650K,1
63,3915:08700,1700K,1700K,1
64,3915:08708 | 3915:08712,1800K,1800K,2处相同
65,3915:08716,Random Read Speed（IOPS）,Tốc Độ Đọc Ngẫu Nhiên (IOPS),1
66,3915:08720,Random Write Speed（IOPS）,Tốc Độ Ghi Ngẫu Nhiên (IOPS),1
67,3915:08746,4GB,4GB,1
68,3915:08750,8GB,8GB,1
69,3915:08754 | 3915:08758,2GB,2GB,2处相同
70,3915:08762,Dram Capacity,Dung Lượng DRAM,1
71,3915:08777,700TBW*,700TBW*,1
72,3915:08786,1400TBW*,1400TBW*,1
73,3915:08799,2800TBW*,2800TBW*,1
74,3915:08803,5600TBW*,5600TBW*,1

# 原文条目,74
# 总节点数,91
